price range,win rate,size of slice
"(2565.0, 2835.0)",0.666666667,30
"(2660.0, 2940.0)",0.717948718,39
"(2755.0, 3045.0)",0.615384615,52
"(2850.0, 3150.0)",0.634920635,63
"(2945.0, 3255.0)",0.555555556,72
"(3040.0, 3360.0)",0.5375,80
"(3135.0, 3465.0)",0.494117647,85
"(3230.0, 3570.0)",0.526315789,95
"(3325.0, 3675.0)",0.559139785,93
"(3420.0, 3780.0)",0.532110092,109
"(3515.0, 3885.0)",0.557522124,113
"(3610.0, 3990.0)",0.545454545,110
"(3705.0, 4095.0)",0.5,120
"(3800.0, 4200.0)",0.512605042,119
"(3895.0, 4305.0)",0.504504505,111
"(3990.0, 4410.0)",0.456,125
"(4085.0, 4515.0)",0.416666667,120
"(4180.0, 4620.0)",0.422413793,116
"(4275.0, 4725.0)",0.428571429,119
"(4370.0, 4830.0)",0.416666667,120
"(4465.0, 4935.0)",0.341666667,120
"(4560.0, 5040.0)",0.336283186,113
"(4655.0, 5145.0)",0.29,100
"(4750.0, 5250.0)",0.261682243,107
"(4845.0, 5355.0)",0.234042553,94
"(4940.0, 5460.0)",0.252873563,87
"(5035.0, 5565.0)",0.256097561,82
"(5130.0, 5670.0)",0.314606742,89
"(5225.0, 5775.0)",0.413793103,87
"(5320.0, 5880.0)",0.445652174,92
"(5415.0, 5985.0)",0.454545455,99
"(5510.0, 6090.0)",0.471153846,104
"(5605.0, 6195.0)",0.481818182,110
"(5700.0, 6300.0)",0.475,120
"(5795.0, 6405.0)",0.444444444,126
"(5890.0, 6510.0)",0.481203008,133
"(5985.0, 6615.0)",0.546153846,130
"(6080.0, 6720.0)",0.608391608,143
"(6175.0, 6825.0)",0.651006711,149
"(6270.0, 6930.0)",0.666666667,153
"(6365.0, 7035.0)",0.709876543,162
"(6460.0, 7140.0)",0.711538462,156
"(6555.0, 7245.0)",0.722580645,155
"(6650.0, 7350.0)",0.689440994,161
"(6745.0, 7455.0)",0.657142857,140
"(6840.0, 7560.0)",0.622222222,135
"(6935.0, 7665.0)",0.656,125
"(7030.0, 7770.0)",0.628099174,121
"(7125.0, 7875.0)",0.651785714,112
"(7220.0, 7980.0)",0.613207547,106
"(7315.0, 8085.0)",0.616161616,99
"(7410.0, 8190.0)",0.581632653,98
"(7505.0, 8295.0)",0.602150538,93
"(7600.0, 8400.0)",0.614457831,83
"(7695.0, 8505.0)",0.580246914,81
"(7790.0, 8610.0)",0.541666667,72
"(7885.0, 8715.0)",0.46969697,66
"(7980.0, 8820.0)",0.454545455,66
"(8075.0, 8925.0)",0.46031746,63
"(8170.0, 9030.0)",0.508474576,59
"(8265.0, 9135.0)",0.465517241,58
"(8360.0, 9240.0)",0.452830189,53
"(8455.0, 9345.0)",0.425531915,47
"(8550.0, 9450.0)",0.418604651,43
"(8645.0, 9555.0)",0.477272727,44
"(8740.0, 9660.0)",0.487804878,41
"(8835.0, 9765.0)",0.5,38
"(8930.0, 9870.0)",0.514285714,35
"(9025.0, 9975.0)",0.46875,32
"(9120.0, 10080.0)",0.46875,32
"(9215.0, 10185.0)",0.46875,32
"(9310.0, 10290.0)",0.482758621,29
"(9405.0, 10395.0)",0.5,30
"(9500.0, 10500.0)",0.461538462,26
