price range,win rate,size of slice
"(2755.0, 3045.0)",0.725806452,62
"(2850.0, 3150.0)",0.697916667,96
"(2945.0, 3255.0)",0.701863354,161
"(3040.0, 3360.0)",0.647368421,190
"(3135.0, 3465.0)",0.620535714,224
"(3230.0, 3570.0)",0.61637931,232
"(3325.0, 3675.0)",0.542635659,258
"(3420.0, 3780.0)",0.580071174,281
"(3515.0, 3885.0)",0.540540541,333
"(3610.0, 3990.0)",0.48115942,345
"(3705.0, 4095.0)",0.452722063,349
"(3800.0, 4200.0)",0.398148148,324
"(3895.0, 4305.0)",0.348484848,264
"(3990.0, 4410.0)",0.340248963,241
"(4085.0, 4515.0)",0.320754717,212
"(4180.0, 4620.0)",0.319587629,194
"(4275.0, 4725.0)",0.324175824,182
"(4370.0, 4830.0)",0.329545455,176
"(4465.0, 4935.0)",0.3,160
"(4560.0, 5040.0)",0.251908397,131
"(4655.0, 5145.0)",0.220472441,127
"(4750.0, 5250.0)",0.189655172,116
"(4845.0, 5355.0)",0.152380952,105
"(4940.0, 5460.0)",0.214953271,107
"(5035.0, 5565.0)",0.245283019,106
"(5130.0, 5670.0)",0.311926606,109
"(5225.0, 5775.0)",0.361111111,108
"(5320.0, 5880.0)",0.382113821,123
"(5415.0, 5985.0)",0.414285714,140
"(5510.0, 6090.0)",0.412587413,143
"(5605.0, 6195.0)",0.424836601,153
"(5700.0, 6300.0)",0.465277778,144
"(5795.0, 6405.0)",0.463087248,149
"(5890.0, 6510.0)",0.463576159,151
"(5985.0, 6615.0)",0.493506494,154
"(6080.0, 6720.0)",0.522012579,159
"(6175.0, 6825.0)",0.539877301,163
"(6270.0, 6930.0)",0.516853933,178
"(6365.0, 7035.0)",0.487179487,195
"(6460.0, 7140.0)",0.481865285,193
"(6555.0, 7245.0)",0.476439791,191
"(6650.0, 7350.0)",0.453038674,181
"(6745.0, 7455.0)",0.433526012,173
"(6840.0, 7560.0)",0.425806452,155
"(6935.0, 7665.0)",0.420289855,138
"(7030.0, 7770.0)",0.472440945,127
"(7125.0, 7875.0)",0.496,125
"(7220.0, 7980.0)",0.495495495,111
"(7315.0, 8085.0)",0.445454545,110
"(7410.0, 8190.0)",0.485148515,101
"(7505.0, 8295.0)",0.48,100
"(7600.0, 8400.0)",0.450980392,102
"(7695.0, 8505.0)",0.476190476,84
"(7790.0, 8610.0)",0.417721519,79
"(7885.0, 8715.0)",0.378787879,66
"(7980.0, 8820.0)",0.454545455,66
"(8075.0, 8925.0)",0.438596491,57
"(8170.0, 9030.0)",0.410714286,56
"(8265.0, 9135.0)",0.411764706,51
"(8360.0, 9240.0)",0.428571429,42
"(8455.0, 9345.0)",0.461538462,39
"(8550.0, 9450.0)",0.4,40
"(8645.0, 9555.0)",0.459459459,37
"(8740.0, 9660.0)",0.428571429,35
"(8835.0, 9765.0)",0.375,32
"(8930.0, 9870.0)",0.363636364,33
"(9025.0, 9975.0)",0.366666667,30
"(9120.0, 10080.0)",0.333333333,27
"(9215.0, 10185.0)",0.357142857,28
"(9310.0, 10290.0)",0.333333333,27
