price range,win rate,size of slice
"(2755.0, 3045.0)",0.605263158,38
"(2850.0, 3150.0)",0.52,50
"(2945.0, 3255.0)",0.5,62
"(3040.0, 3360.0)",0.410958904,73
"(3135.0, 3465.0)",0.402298851,87
"(3230.0, 3570.0)",0.353535354,99
"(3325.0, 3675.0)",0.387755102,98
"(3420.0, 3780.0)",0.411764706,119
"(3515.0, 3885.0)",0.416,125
"(3610.0, 3990.0)",0.398648649,148
"(3705.0, 4095.0)",0.356643357,143
"(3800.0, 4200.0)",0.272727273,132
"(3895.0, 4305.0)",0.246153846,130
"(3990.0, 4410.0)",0.244897959,98
"(4085.0, 4515.0)",0.240384615,104
"(4180.0, 4620.0)",0.228571429,105
"(4275.0, 4725.0)",0.241758242,91
"(4370.0, 4830.0)",0.229166667,96
"(4465.0, 4935.0)",0.210526316,95
"(4560.0, 5040.0)",0.170454545,88
"(4655.0, 5145.0)",0.153846154,78
"(4750.0, 5250.0)",0.147058824,68
"(4845.0, 5355.0)",0.126760563,71
"(4940.0, 5460.0)",0.197674419,86
"(5035.0, 5565.0)",0.214285714,84
"(5130.0, 5670.0)",0.223529412,85
"(5225.0, 5775.0)",0.231578947,95
"(5320.0, 5880.0)",0.239130435,92
"(5415.0, 5985.0)",0.235294118,85
"(5510.0, 6090.0)",0.235294118,85
"(5605.0, 6195.0)",0.265822785,79
"(5700.0, 6300.0)",0.324675325,77
"(5795.0, 6405.0)",0.381578947,76
"(5890.0, 6510.0)",0.409638554,83
"(5985.0, 6615.0)",0.409638554,83
"(6080.0, 6720.0)",0.392857143,84
"(6175.0, 6825.0)",0.372093023,86
"(6270.0, 6930.0)",0.404761905,84
"(6365.0, 7035.0)",0.414634146,82
"(6460.0, 7140.0)",0.409638554,83
"(6555.0, 7245.0)",0.450704225,71
"(6650.0, 7350.0)",0.473684211,76
"(6745.0, 7455.0)",0.471428571,70
"(6840.0, 7560.0)",0.515625,64
"(6935.0, 7665.0)",0.456140351,57
"(7030.0, 7770.0)",0.377358491,53
"(7125.0, 7875.0)",0.358490566,53
"(7220.0, 7980.0)",0.34,50
"(7315.0, 8085.0)",0.282608696,46
"(7410.0, 8190.0)",0.242424242,33
"(7505.0, 8295.0)",0.1875,32
"(7600.0, 8400.0)",0.171428571,35
"(7695.0, 8505.0)",0.176470588,34
"(7790.0, 8610.0)",0.138888889,36
"(7885.0, 8715.0)",0.107142857,28
"(7980.0, 8820.0)",0.107142857,28
"(8075.0, 8925.0)",0.1,30
"(8170.0, 9030.0)",0.09375,32
"(8265.0, 9135.0)",0.129032258,31
"(8360.0, 9240.0)",0.137931034,29
"(8455.0, 9345.0)",0.16,25
"(9215.0, 10185.0)",0.32,25
"(9310.0, 10290.0)",0.269230769,26
"(9405.0, 10395.0)",0.233333333,30
"(9500.0, 10500.0)",0.233333333,30
"(9595.0, 10605.0)",0.269230769,26
"(9690.0, 10710.0)",0.230769231,26
"(9785.0, 10815.0)",0.185185185,27
"(9880.0, 10920.0)",0.214285714,28
"(9975.0, 11025.0)",0.2,25
