price range,win rate,size of slice
"(2470.0, 2730.0)",0.724137931,29
"(2565.0, 2835.0)",0.612903226,31
"(2660.0, 2940.0)",0.540540541,37
"(2755.0, 3045.0)",0.529411765,51
"(2850.0, 3150.0)",0.571428571,70
"(2945.0, 3255.0)",0.525,80
"(3040.0, 3360.0)",0.483870968,93
"(3135.0, 3465.0)",0.422680412,97
"(3230.0, 3570.0)",0.43902439,123
"(3325.0, 3675.0)",0.426470588,136
"(3420.0, 3780.0)",0.378205128,156
"(3515.0, 3885.0)",0.386075949,158
"(3610.0, 3990.0)",0.46875,160
"(3705.0, 4095.0)",0.463414634,164
"(3800.0, 4200.0)",0.518248175,137
"(3895.0, 4305.0)",0.534351145,131
"(3990.0, 4410.0)",0.431192661,109
"(4085.0, 4515.0)",0.368932039,103
"(4180.0, 4620.0)",0.353448276,116
"(4275.0, 4725.0)",0.309734513,113
"(4370.0, 4830.0)",0.330275229,109
"(4465.0, 4935.0)",0.356521739,115
"(4560.0, 5040.0)",0.324324324,111
"(4655.0, 5145.0)",0.283018868,106
"(4750.0, 5250.0)",0.260869565,115
"(4845.0, 5355.0)",0.247863248,117
"(4940.0, 5460.0)",0.243478261,115
"(5035.0, 5565.0)",0.290598291,117
"(5130.0, 5670.0)",0.3,110
"(5225.0, 5775.0)",0.38317757,107
"(5320.0, 5880.0)",0.460176991,113
"(5415.0, 5985.0)",0.490196078,102
"(5510.0, 6090.0)",0.527272727,110
"(5605.0, 6195.0)",0.6,110
"(5700.0, 6300.0)",0.609756098,123
"(5795.0, 6405.0)",0.595419847,131
"(5890.0, 6510.0)",0.585714286,140
"(5985.0, 6615.0)",0.621118012,161
"(6080.0, 6720.0)",0.632911392,158
"(6175.0, 6825.0)",0.590643275,171
"(6270.0, 6930.0)",0.563535912,181
"(6365.0, 7035.0)",0.565656566,198
"(6460.0, 7140.0)",0.57635468,203
"(6555.0, 7245.0)",0.557142857,210
"(6650.0, 7350.0)",0.528795812,191
"(6745.0, 7455.0)",0.507692308,195
"(6840.0, 7560.0)",0.510752688,186
"(6935.0, 7665.0)",0.488095238,168
"(7030.0, 7770.0)",0.483443709,151
"(7125.0, 7875.0)",0.438848921,139
"(7220.0, 7980.0)",0.434782609,115
"(7315.0, 8085.0)",0.448598131,107
"(7410.0, 8190.0)",0.455555556,90
"(7505.0, 8295.0)",0.453333333,75
"(7600.0, 8400.0)",0.507246377,69
"(7695.0, 8505.0)",0.507246377,69
"(7790.0, 8610.0)",0.483870968,62
"(7885.0, 8715.0)",0.509090909,55
"(7980.0, 8820.0)",0.557692308,52
"(8075.0, 8925.0)",0.480769231,52
"(8170.0, 9030.0)",0.425925926,54
"(8265.0, 9135.0)",0.433962264,53
"(8360.0, 9240.0)",0.442307692,52
"(8455.0, 9345.0)",0.434782609,46
"(8550.0, 9450.0)",0.431818182,44
"(8645.0, 9555.0)",0.454545455,44
"(8740.0, 9660.0)",0.428571429,42
"(8835.0, 9765.0)",0.405405405,37
"(8930.0, 9870.0)",0.424242424,33
"(9025.0, 9975.0)",0.482758621,29
"(9120.0, 10080.0)",0.5,28
"(9215.0, 10185.0)",0.461538462,26
