price range,win rate,size of slice
"(3325.0, 3675.0)",0.7941176470588235,34
"(3420.0, 3780.0)",0.775,40
"(3515.0, 3885.0)",0.6578947368421053,38
"(3610.0, 3990.0)",0.6521739130434783,46
"(3705.0, 4095.0)",0.6046511627906976,43
"(3800.0, 4200.0)",0.5652173913043478,46
"(3895.0, 4305.0)",0.6326530612244898,49
"(3990.0, 4410.0)",0.5416666666666666,48
"(4085.0, 4515.0)",0.47058823529411764,51
"(4180.0, 4620.0)",0.44680851063829785,47
"(4275.0, 4725.0)",0.40384615384615385,52
"(4370.0, 4830.0)",0.3488372093023256,43
"(4465.0, 4935.0)",0.38095238095238093,42
"(4560.0, 5040.0)",0.35135135135135137,37
"(4655.0, 5145.0)",0.40625,32
"(4750.0, 5250.0)",0.27586206896551724,29
"(4845.0, 5355.0)",0.21212121212121213,33
"(4940.0, 5460.0)",0.20588235294117646,34
"(5035.0, 5565.0)",0.25,36
"(5130.0, 5670.0)",0.21428571428571427,42
"(5225.0, 5775.0)",0.275,40
"(5320.0, 5880.0)",0.32558139534883723,43
"(5415.0, 5985.0)",0.358974358974359,39
"(5510.0, 6090.0)",0.45,40
"(5605.0, 6195.0)",0.4878048780487805,41
"(5700.0, 6300.0)",0.5,36
"(5795.0, 6405.0)",0.5294117647058824,34
"(5890.0, 6510.0)",0.5666666666666667,30
"(5985.0, 6615.0)",0.5925925925925926,27
"(6080.0, 6720.0)",0.4444444444444444,27
"(6175.0, 6825.0)",0.42857142857142855,28
"(6270.0, 6930.0)",0.41935483870967744,31
"(6365.0, 7035.0)",0.41379310344827586,29
"(6460.0, 7140.0)",0.42424242424242425,33
"(6555.0, 7245.0)",0.4444444444444444,36
"(6650.0, 7350.0)",0.46875,32
"(6745.0, 7455.0)",0.41935483870967744,31
"(6840.0, 7560.0)",0.36666666666666664,30
"(6935.0, 7665.0)",0.36,25
"(7030.0, 7770.0)",0.32,25
"(7125.0, 7875.0)",0.34615384615384615,26
"(8075.0, 8925.0)",0.44,25
"(8170.0, 9030.0)",0.52,25
"(8265.0, 9135.0)",0.46153846153846156,26
"(8360.0, 9240.0)",0.4,25
"(8455.0, 9345.0)",0.4,25
"(8550.0, 9450.0)",0.38461538461538464,26
"(8645.0, 9555.0)",0.38461538461538464,26
"(8835.0, 9765.0)",0.4074074074074074,27
"(8930.0, 9870.0)",0.37037037037037035,27
"(9025.0, 9975.0)",0.36,25
