price range,win rate,size of slice
"(3420.0, 3780.0)",0.592592593,27
"(3515.0, 3885.0)",0.696969697,33
"(3610.0, 3990.0)",0.64516129,31
"(3705.0, 4095.0)",0.655172414,29
"(3800.0, 4200.0)",0.555555556,27
"(3990.0, 4410.0)",0.407407407,27
"(4085.0, 4515.0)",0.413793103,29
"(4180.0, 4620.0)",0.357142857,28
"(4275.0, 4725.0)",0.322580645,31
"(4370.0, 4830.0)",0.333333333,36
"(4465.0, 4935.0)",0.393939394,33
"(4560.0, 5040.0)",0.324324324,37
"(4655.0, 5145.0)",0.318181818,44
"(4750.0, 5250.0)",0.375,48
"(4845.0, 5355.0)",0.442307692,52
"(4940.0, 5460.0)",0.472727273,55
"(5035.0, 5565.0)",0.53125,64
"(5130.0, 5670.0)",0.56,75
"(5225.0, 5775.0)",0.556818182,88
"(5320.0, 5880.0)",0.549019608,102
"(5415.0, 5985.0)",0.563492063,126
"(5510.0, 6090.0)",0.598591549,142
"(5605.0, 6195.0)",0.581818182,165
"(5700.0, 6300.0)",0.601010101,198
"(5795.0, 6405.0)",0.621145374,227
"(5890.0, 6510.0)",0.625482625,259
"(5985.0, 6615.0)",0.64137931,290
"(6080.0, 6720.0)",0.63190184,326
"(6175.0, 6825.0)",0.662087912,364
"(6270.0, 6930.0)",0.671794872,390
"(6365.0, 7035.0)",0.653012048,415
"(6460.0, 7140.0)",0.676744186,430
"(6555.0, 7245.0)",0.674943567,443
"(6650.0, 7350.0)",0.667425968,439
"(6745.0, 7455.0)",0.64516129,465
"(6840.0, 7560.0)",0.622516556,453
"(6935.0, 7665.0)",0.612244898,441
"(7030.0, 7770.0)",0.618303571,448
"(7125.0, 7875.0)",0.590697674,430
"(7220.0, 7980.0)",0.587677725,422
"(7315.0, 8085.0)",0.581730769,416
"(7410.0, 8190.0)",0.573604061,394
"(7505.0, 8295.0)",0.574175824,364
"(7600.0, 8400.0)",0.573033708,356
"(7695.0, 8505.0)",0.557522124,339
"(7790.0, 8610.0)",0.536741214,313
"(7885.0, 8715.0)",0.527027027,296
"(7980.0, 8820.0)",0.496644295,298
"(8075.0, 8925.0)",0.47311828,279
"(8170.0, 9030.0)",0.459649123,285
"(8265.0, 9135.0)",0.458646617,266
"(8360.0, 9240.0)",0.437735849,265
"(8455.0, 9345.0)",0.427480916,262
"(8550.0, 9450.0)",0.410646388,263
"(8645.0, 9555.0)",0.404,250
"(8740.0, 9660.0)",0.405857741,239
"(8835.0, 9765.0)",0.39380531,226
"(8930.0, 9870.0)",0.40990991,222
"(9025.0, 9975.0)",0.39800995,201
"(9120.0, 10080.0)",0.412935323,201
"(9215.0, 10185.0)",0.394871795,195
"(9310.0, 10290.0)",0.417989418,189
"(9405.0, 10395.0)",0.404371585,183
"(9500.0, 10500.0)",0.418079096,177
"(9595.0, 10605.0)",0.444444444,171
"(9690.0, 10710.0)",0.449704142,169
"(9785.0, 10815.0)",0.467065868,167
"(9880.0, 10920.0)",0.460606061,165
"(9975.0, 11025.0)",0.469512195,164
"(10070.0, 11130.0)",0.451219512,164
"(10165.0, 11235.0)",0.442307692,156
"(10260.0, 11340.0)",0.416107383,149
"(10355.0, 11445.0)",0.456953642,151
"(10450.0, 11550.0)",0.482993197,147
"(10545.0, 11655.0)",0.448275862,145
"(10640.0, 11760.0)",0.457746479,142
"(10735.0, 11865.0)",0.492537313,134
"(10830.0, 11970.0)",0.467213115,122
"(10925.0, 12075.0)",0.491666667,120
"(11020.0, 12180.0)",0.513274336,113
"(11115.0, 12285.0)",0.551020408,98
"(11210.0, 12390.0)",0.544554455,101
"(11305.0, 12495.0)",0.593406593,91
"(11400.0, 12600.0)",0.595238095,84
"(11495.0, 12705.0)",0.578947368,76
"(11590.0, 12810.0)",0.583333333,72
"(11685.0, 12915.0)",0.619047619,63
"(11780.0, 13020.0)",0.589285714,56
"(11875.0, 13125.0)",0.527272727,55
"(11970.0, 13230.0)",0.529411765,51
"(12065.0, 13335.0)",0.525,40
"(12160.0, 13440.0)",0.459459459,37
"(12255.0, 13545.0)",0.472222222,36
"(12350.0, 13650.0)",0.379310345,29
"(12445.0, 13755.0)",0.5,28
"(12540.0, 13860.0)",0.5,26
"(12635.0, 13965.0)",0.44,25
