price range,win rate,size of slice
"(2755.0, 3045.0)",0.48,25
"(2850.0, 3150.0)",0.5625,32
"(2945.0, 3255.0)",0.564102564,39
"(3040.0, 3360.0)",0.565217391,46
"(3135.0, 3465.0)",0.519230769,52
"(3230.0, 3570.0)",0.469387755,49
"(3325.0, 3675.0)",0.386363636,44
"(3420.0, 3780.0)",0.365853659,41
"(3515.0, 3885.0)",0.418604651,43
"(3610.0, 3990.0)",0.450980392,51
"(3705.0, 4095.0)",0.490566038,53
"(3800.0, 4200.0)",0.525423729,59
"(3895.0, 4305.0)",0.523076923,65
"(3990.0, 4410.0)",0.508196721,61
"(4085.0, 4515.0)",0.5,58
"(4180.0, 4620.0)",0.517241379,58
"(4275.0, 4725.0)",0.5,62
"(4370.0, 4830.0)",0.473684211,57
"(4465.0, 4935.0)",0.406779661,59
"(4560.0, 5040.0)",0.406779661,59
"(4655.0, 5145.0)",0.423728814,59
"(4750.0, 5250.0)",0.466666667,60
"(4845.0, 5355.0)",0.442622951,61
"(4940.0, 5460.0)",0.508474576,59
"(5035.0, 5565.0)",0.48,50
"(5130.0, 5670.0)",0.543478261,46
"(5225.0, 5775.0)",0.5,38
"(5320.0, 5880.0)",0.5,42
"(5415.0, 5985.0)",0.522727273,44
"(5510.0, 6090.0)",0.489795918,49
"(5605.0, 6195.0)",0.52,50
"(5700.0, 6300.0)",0.52173913,46
"(5795.0, 6405.0)",0.555555556,54
"(5890.0, 6510.0)",0.632653061,49
"(5985.0, 6615.0)",0.541666667,48
"(6080.0, 6720.0)",0.591836735,49
"(6175.0, 6825.0)",0.603174603,63
"(6270.0, 6930.0)",0.611940299,67
"(6365.0, 7035.0)",0.605633803,71
"(6460.0, 7140.0)",0.614285714,70
"(6555.0, 7245.0)",0.635135135,74
"(6650.0, 7350.0)",0.633802817,71
"(6745.0, 7455.0)",0.652173913,69
"(6840.0, 7560.0)",0.661016949,59
"(6935.0, 7665.0)",0.666666667,57
"(7030.0, 7770.0)",0.618181818,55
"(7125.0, 7875.0)",0.642857143,56
"(7220.0, 7980.0)",0.611111111,54
"(7315.0, 8085.0)",0.62745098,51
"(7410.0, 8190.0)",0.615384615,52
"(7505.0, 8295.0)",0.622222222,45
"(7600.0, 8400.0)",0.577777778,45
"(7695.0, 8505.0)",0.581395349,43
"(7790.0, 8610.0)",0.631578947,38
"(7885.0, 8715.0)",0.580645161,31
"(7980.0, 8820.0)",0.551724138,29
"(8075.0, 8925.0)",0.612903226,31
"(8170.0, 9030.0)",0.533333333,30
"(8265.0, 9135.0)",0.454545455,33
"(8360.0, 9240.0)",0.419354839,31
"(8455.0, 9345.0)",0.46875,32
"(8550.0, 9450.0)",0.433333333,30
"(8645.0, 9555.0)",0.451612903,31
"(8740.0, 9660.0)",0.433333333,30
"(8835.0, 9765.0)",0.407407407,27
"(8930.0, 9870.0)",0.37037037,27
