price range,win rate,size of slice
"(2945.0, 3255.0)",0.861111111,36
"(3040.0, 3360.0)",0.842105263,57
"(3135.0, 3465.0)",0.76056338,71
"(3230.0, 3570.0)",0.690721649,97
"(3325.0, 3675.0)",0.645833333,96
"(3420.0, 3780.0)",0.689320388,103
"(3515.0, 3885.0)",0.684684685,111
"(3610.0, 3990.0)",0.672897196,107
"(3705.0, 4095.0)",0.666666667,117
"(3800.0, 4200.0)",0.614754098,122
"(3895.0, 4305.0)",0.582608696,115
"(3990.0, 4410.0)",0.530434783,115
"(4085.0, 4515.0)",0.425742574,101
"(4180.0, 4620.0)",0.397959184,98
"(4275.0, 4725.0)",0.393617021,94
"(4370.0, 4830.0)",0.413793103,87
"(4465.0, 4935.0)",0.4,90
"(4560.0, 5040.0)",0.43373494,83
"(4655.0, 5145.0)",0.450704225,71
"(4750.0, 5250.0)",0.383561644,73
"(4845.0, 5355.0)",0.37704918,61
"(4940.0, 5460.0)",0.403508772,57
"(5035.0, 5565.0)",0.357142857,56
"(5130.0, 5670.0)",0.338983051,59
"(5225.0, 5775.0)",0.4,60
"(5320.0, 5880.0)",0.397058824,68
"(5415.0, 5985.0)",0.385714286,70
"(5510.0, 6090.0)",0.355263158,76
"(5605.0, 6195.0)",0.358974359,78
"(5700.0, 6300.0)",0.4,80
"(5795.0, 6405.0)",0.416666667,72
"(5890.0, 6510.0)",0.434782609,69
"(5985.0, 6615.0)",0.484848485,66
"(6080.0, 6720.0)",0.55,60
"(6175.0, 6825.0)",0.578947368,57
"(6270.0, 6930.0)",0.555555556,54
"(6365.0, 7035.0)",0.573770492,61
"(6460.0, 7140.0)",0.545454545,66
"(6555.0, 7245.0)",0.560606061,66
"(6650.0, 7350.0)",0.555555556,72
"(6745.0, 7455.0)",0.555555556,72
"(6840.0, 7560.0)",0.575342466,73
"(6935.0, 7665.0)",0.6,75
"(7030.0, 7770.0)",0.6,70
"(7125.0, 7875.0)",0.609375,64
"(7220.0, 7980.0)",0.546875,64
"(7315.0, 8085.0)",0.551724138,58
"(7410.0, 8190.0)",0.530612245,49
"(7505.0, 8295.0)",0.5,46
"(7600.0, 8400.0)",0.511111111,45
"(7695.0, 8505.0)",0.463414634,41
"(7790.0, 8610.0)",0.405405405,37
"(7885.0, 8715.0)",0.452380952,42
"(7980.0, 8820.0)",0.5,36
"(8075.0, 8925.0)",0.540540541,37
"(8170.0, 9030.0)",0.5,38
"(8265.0, 9135.0)",0.529411765,34
"(8360.0, 9240.0)",0.5625,32
"(8455.0, 9345.0)",0.551724138,29
"(8550.0, 9450.0)",0.535714286,28
"(8645.0, 9555.0)",0.518518519,27
"(8740.0, 9660.0)",0.481481481,27
"(8835.0, 9765.0)",0.5,32
"(8930.0, 9870.0)",0.464285714,28
"(9025.0, 9975.0)",0.482758621,29
"(9120.0, 10080.0)",0.515151515,33
"(9215.0, 10185.0)",0.5,32
"(9310.0, 10290.0)",0.516129032,31
"(9405.0, 10395.0)",0.484848485,33
"(9500.0, 10500.0)",0.472222222,36
"(9595.0, 10605.0)",0.454545455,33
"(9690.0, 10710.0)",0.5,28
"(9785.0, 10815.0)",0.48,25
