price range,win rate,size of slice
"(2945.0, 3255.0)",0.8,25
"(3040.0, 3360.0)",0.8,40
"(3135.0, 3465.0)",0.720930233,43
"(3230.0, 3570.0)",0.64,50
"(3325.0, 3675.0)",0.5,50
"(3420.0, 3780.0)",0.509090909,55
"(3515.0, 3885.0)",0.55,60
"(3610.0, 3990.0)",0.527027027,74
"(3705.0, 4095.0)",0.571428571,77
"(3800.0, 4200.0)",0.5,90
"(3895.0, 4305.0)",0.5,82
"(3990.0, 4410.0)",0.506666667,75
"(4085.0, 4515.0)",0.438356164,73
"(4180.0, 4620.0)",0.513888889,72
"(4275.0, 4725.0)",0.480519481,77
"(4370.0, 4830.0)",0.438356164,73
"(4465.0, 4935.0)",0.410958904,73
"(4560.0, 5040.0)",0.385714286,70
"(4655.0, 5145.0)",0.375,56
"(4750.0, 5250.0)",0.327272727,55
"(4845.0, 5355.0)",0.322033898,59
"(4940.0, 5460.0)",0.357142857,56
"(5035.0, 5565.0)",0.37254902,51
"(5130.0, 5670.0)",0.320754717,53
"(5225.0, 5775.0)",0.357142857,56
"(5320.0, 5880.0)",0.392857143,56
"(5415.0, 5985.0)",0.358490566,53
"(5510.0, 6090.0)",0.327586207,58
"(5605.0, 6195.0)",0.303571429,56
"(5700.0, 6300.0)",0.37037037,54
"(5795.0, 6405.0)",0.391304348,46
"(5890.0, 6510.0)",0.372093023,43
"(5985.0, 6615.0)",0.425,40
"(6080.0, 6720.0)",0.459459459,37
"(6175.0, 6825.0)",0.444444444,36
"(6270.0, 6930.0)",0.424242424,33
"(6365.0, 7035.0)",0.454545455,33
"(6460.0, 7140.0)",0.475,40
"(6555.0, 7245.0)",0.488372093,43
"(6650.0, 7350.0)",0.476190476,42
"(6745.0, 7455.0)",0.487179487,39
"(6840.0, 7560.0)",0.487179487,39
"(6935.0, 7665.0)",0.488372093,43
"(7030.0, 7770.0)",0.5,42
"(7125.0, 7875.0)",0.441176471,34
"(7220.0, 7980.0)",0.363636364,33
"(7315.0, 8085.0)",0.34375,32
"(7410.0, 8190.0)",0.379310345,29
"(7505.0, 8295.0)",0.333333333,30
"(7600.0, 8400.0)",0.379310345,29
"(7695.0, 8505.0)",0.344827586,29
"(7790.0, 8610.0)",0.413793103,29
"(7885.0, 8715.0)",0.451612903,31
"(7980.0, 8820.0)",0.466666667,30
"(8075.0, 8925.0)",0.466666667,30
"(8170.0, 9030.0)",0.464285714,28
"(8265.0, 9135.0)",0.48,25
"(8360.0, 9240.0)",0.44,25
"(9120.0, 10080.0)",0.307692308,26
"(9405.0, 10395.0)",0.346153846,26
"(9500.0, 10500.0)",0.310344828,29
"(9595.0, 10605.0)",0.285714286,28
"(9690.0, 10710.0)",0.307692308,26
"(9785.0, 10815.0)",0.307692308,26
