price range,win rate,size of slice
"(3610.0, 3990.0)",0.6153846153846154,26
"(3705.0, 4095.0)",0.6153846153846154,26
"(3800.0, 4200.0)",0.5714285714285714,28
"(3895.0, 4305.0)",0.6071428571428571,28
"(3990.0, 4410.0)",0.48148148148148145,27
"(4085.0, 4515.0)",0.41379310344827586,29
"(4275.0, 4725.0)",0.2903225806451613,31
"(4370.0, 4830.0)",0.2692307692307692,26
"(5130.0, 5670.0)",0.26666666666666666,30
"(5225.0, 5775.0)",0.27586206896551724,29
"(5320.0, 5880.0)",0.3125,32
"(5415.0, 5985.0)",0.3333333333333333,27
"(5510.0, 6090.0)",0.4230769230769231,26
"(5605.0, 6195.0)",0.46153846153846156,26
