price range,win rate,size of slice
"(4655.0, 5145.0)",0.333333333,27
"(4750.0, 5250.0)",0.314285714,35
"(4845.0, 5355.0)",0.378378378,37
"(4940.0, 5460.0)",0.390243902,41
"(5035.0, 5565.0)",0.425531915,47
"(5130.0, 5670.0)",0.52,50
"(5225.0, 5775.0)",0.576923077,52
"(5320.0, 5880.0)",0.566666667,60
"(5415.0, 5985.0)",0.558823529,68
"(5510.0, 6090.0)",0.589041096,73
"(5605.0, 6195.0)",0.6,80
"(5700.0, 6300.0)",0.555555556,99
"(5795.0, 6405.0)",0.603773585,106
"(5890.0, 6510.0)",0.601694915,118
"(5985.0, 6615.0)",0.607692308,130
"(6080.0, 6720.0)",0.577922078,154
"(6175.0, 6825.0)",0.573863636,176
"(6270.0, 6930.0)",0.580110497,181
"(6365.0, 7035.0)",0.53030303,198
"(6460.0, 7140.0)",0.542056075,214
"(6555.0, 7245.0)",0.522123894,226
"(6650.0, 7350.0)",0.52742616,237
"(6745.0, 7455.0)",0.533864542,251
"(6840.0, 7560.0)",0.541176471,255
"(6935.0, 7665.0)",0.552238806,268
"(7030.0, 7770.0)",0.573943662,284
"(7125.0, 7875.0)",0.57400722,277
"(7220.0, 7980.0)",0.588014981,267
"(7315.0, 8085.0)",0.58203125,256
"(7410.0, 8190.0)",0.596707819,243
"(7505.0, 8295.0)",0.56223176,233
"(7600.0, 8400.0)",0.560185185,216
"(7695.0, 8505.0)",0.547263682,201
"(7790.0, 8610.0)",0.511235955,178
"(7885.0, 8715.0)",0.491428571,175
"(7980.0, 8820.0)",0.459459459,185
"(8075.0, 8925.0)",0.44198895,181
"(8170.0, 9030.0)",0.390625,192
"(8265.0, 9135.0)",0.401098901,182
"(8360.0, 9240.0)",0.391304348,184
"(8455.0, 9345.0)",0.382198953,191
"(8550.0, 9450.0)",0.371134021,194
"(8645.0, 9555.0)",0.352631579,190
"(8740.0, 9660.0)",0.344632768,177
"(8835.0, 9765.0)",0.329341317,167
"(8930.0, 9870.0)",0.352564103,156
"(9025.0, 9975.0)",0.37037037,135
"(9120.0, 10080.0)",0.374045802,131
"(9215.0, 10185.0)",0.349206349,126
"(9310.0, 10290.0)",0.357723577,123
"(9405.0, 10395.0)",0.336283186,113
"(9500.0, 10500.0)",0.377358491,106
"(9595.0, 10605.0)",0.388349515,103
"(9690.0, 10710.0)",0.432432432,111
"(9785.0, 10815.0)",0.466666667,120
"(9880.0, 10920.0)",0.4296875,128
"(9975.0, 11025.0)",0.42519685,127
"(10070.0, 11130.0)",0.425373134,134
"(10165.0, 11235.0)",0.417322835,127
"(10260.0, 11340.0)",0.408,125
"(10355.0, 11445.0)",0.412698413,126
"(10450.0, 11550.0)",0.41322314,121
"(10545.0, 11655.0)",0.375,128
"(10640.0, 11760.0)",0.37398374,123
"(10735.0, 11865.0)",0.363636364,110
"(10830.0, 11970.0)",0.309278351,97
"(10925.0, 12075.0)",0.322580645,93
"(11020.0, 12180.0)",0.355555556,90
"(11115.0, 12285.0)",0.3375,80
"(11210.0, 12390.0)",0.37037037,81
"(11305.0, 12495.0)",0.407894737,76
"(11400.0, 12600.0)",0.422535211,71
"(11495.0, 12705.0)",0.415384615,65
"(11590.0, 12810.0)",0.483333333,60
"(11685.0, 12915.0)",0.538461538,52
"(11780.0, 13020.0)",0.531914894,47
"(11875.0, 13125.0)",0.511111111,45
"(11970.0, 13230.0)",0.538461538,39
"(12065.0, 13335.0)",0.586206897,29
"(12160.0, 13440.0)",0.555555556,27
