price range,win rate,size of slice
"(3230.0, 3570.0)",0.6,35
"(3325.0, 3675.0)",0.5,36
"(3420.0, 3780.0)",0.475,40
"(3515.0, 3885.0)",0.484848485,33
"(3610.0, 3990.0)",0.5,38
"(3705.0, 4095.0)",0.59375,32
"(3800.0, 4200.0)",0.548387097,31
"(3895.0, 4305.0)",0.485714286,35
"(3990.0, 4410.0)",0.407407407,27
"(4085.0, 4515.0)",0.321428571,28
"(4180.0, 4620.0)",0.25,32
"(4275.0, 4725.0)",0.111111111,27
"(4370.0, 4830.0)",0.111111111,27
"(4465.0, 4935.0)",0.137931034,29
"(4560.0, 5040.0)",0.193548387,31
"(4655.0, 5145.0)",0.205882353,34
"(4750.0, 5250.0)",0.25,32
"(4845.0, 5355.0)",0.243243243,37
"(4940.0, 5460.0)",0.275,40
"(5035.0, 5565.0)",0.3,40
"(5130.0, 5670.0)",0.38,50
"(5225.0, 5775.0)",0.366666667,60
"(5320.0, 5880.0)",0.387096774,62
"(5415.0, 5985.0)",0.417721519,79
"(5510.0, 6090.0)",0.46,100
"(5605.0, 6195.0)",0.527777778,108
"(5700.0, 6300.0)",0.538461538,130
"(5795.0, 6405.0)",0.572519084,131
"(5890.0, 6510.0)",0.512345679,162
"(5985.0, 6615.0)",0.535135135,185
"(6080.0, 6720.0)",0.531914894,188
"(6175.0, 6825.0)",0.511737089,213
"(6270.0, 6930.0)",0.468085106,235
"(6365.0, 7035.0)",0.461832061,262
"(6460.0, 7140.0)",0.484320557,287
"(6555.0, 7245.0)",0.454861111,288
"(6650.0, 7350.0)",0.466666667,285
"(6745.0, 7455.0)",0.45862069,290
"(6840.0, 7560.0)",0.446808511,282
"(6935.0, 7665.0)",0.45112782,266
"(7030.0, 7770.0)",0.436734694,245
"(7125.0, 7875.0)",0.408695652,230
"(7220.0, 7980.0)",0.404651163,215
"(7315.0, 8085.0)",0.368932039,206
"(7410.0, 8190.0)",0.326530612,196
"(7505.0, 8295.0)",0.307692308,182
"(7600.0, 8400.0)",0.314814815,162
"(7695.0, 8505.0)",0.303797468,158
"(7790.0, 8610.0)",0.31292517,147
"(7885.0, 8715.0)",0.294964029,139
"(7980.0, 8820.0)",0.310606061,132
"(8075.0, 8925.0)",0.341880342,117
"(8170.0, 9030.0)",0.336363636,110
"(8265.0, 9135.0)",0.333333333,102
"(8360.0, 9240.0)",0.351648352,91
"(8455.0, 9345.0)",0.333333333,87
"(8550.0, 9450.0)",0.333333333,84
"(8645.0, 9555.0)",0.282051282,78
"(8740.0, 9660.0)",0.3,70
"(8835.0, 9765.0)",0.26984127,63
"(8930.0, 9870.0)",0.253968254,63
"(9025.0, 9975.0)",0.267857143,56
"(9120.0, 10080.0)",0.259259259,54
"(9215.0, 10185.0)",0.288461538,52
"(9310.0, 10290.0)",0.276595745,47
"(9405.0, 10395.0)",0.30952381,42
"(9500.0, 10500.0)",0.35,40
"(9595.0, 10605.0)",0.358974359,39
"(9690.0, 10710.0)",0.365853659,41
"(9785.0, 10815.0)",0.405405405,37
"(9880.0, 10920.0)",0.459459459,37
"(9975.0, 11025.0)",0.432432432,37
"(10070.0, 11130.0)",0.416666667,36
"(10165.0, 11235.0)",0.378378378,37
"(10260.0, 11340.0)",0.342105263,38
"(10355.0, 11445.0)",0.297297297,37
"(10450.0, 11550.0)",0.303030303,33
"(10545.0, 11655.0)",0.294117647,34
"(10640.0, 11760.0)",0.28125,32
"(10735.0, 11865.0)",0.259259259,27
"(10830.0, 11970.0)",0.230769231,26
