price range,win rate,size of slice
"(2660.0, 2940.0)",0.7777777777777778,36
"(2755.0, 3045.0)",0.7444444444444445,90
"(2850.0, 3150.0)",0.7401574803149606,127
"(2945.0, 3255.0)",0.7421052631578947,190
"(3040.0, 3360.0)",0.6619718309859155,213
"(3135.0, 3465.0)",0.6172839506172839,243
"(3230.0, 3570.0)",0.6178861788617886,246
"(3325.0, 3675.0)",0.553030303030303,264
"(3420.0, 3780.0)",0.5605536332179931,289
"(3515.0, 3885.0)",0.5165165165165165,333
"(3610.0, 3990.0)",0.45584045584045585,351
"(3705.0, 4095.0)",0.42857142857142855,357
"(3800.0, 4200.0)",0.39644970414201186,338
"(3895.0, 4305.0)",0.3576388888888889,288
"(3990.0, 4410.0)",0.3574144486692015,263
"(4085.0, 4515.0)",0.3577586206896552,232
"(4180.0, 4620.0)",0.35071090047393366,211
"(4275.0, 4725.0)",0.32663316582914576,199
"(4370.0, 4830.0)",0.3402061855670103,194
"(4465.0, 4935.0)",0.3016759776536313,179
"(4560.0, 5040.0)",0.28104575163398693,153
"(4655.0, 5145.0)",0.2620689655172414,145
"(4750.0, 5250.0)",0.2755905511811024,127
"(4845.0, 5355.0)",0.22935779816513763,109
"(4940.0, 5460.0)",0.28695652173913044,115
"(5035.0, 5565.0)",0.2956521739130435,115
"(5130.0, 5670.0)",0.34710743801652894,121
"(5225.0, 5775.0)",0.3700787401574803,127
"(5320.0, 5880.0)",0.38235294117647056,136
"(5415.0, 5985.0)",0.4161073825503356,149
"(5510.0, 6090.0)",0.4430379746835443,158
"(5605.0, 6195.0)",0.4470588235294118,170
"(5700.0, 6300.0)",0.4936708860759494,158
"(5795.0, 6405.0)",0.5121951219512195,164
"(5890.0, 6510.0)",0.5235294117647059,170
"(5985.0, 6615.0)",0.5536723163841808,177
"(6080.0, 6720.0)",0.5786516853932584,178
"(6175.0, 6825.0)",0.5977653631284916,179
"(6270.0, 6930.0)",0.5904255319148937,188
"(6365.0, 7035.0)",0.5728155339805825,206
"(6460.0, 7140.0)",0.5388349514563107,206
"(6555.0, 7245.0)",0.5202020202020202,198
"(6650.0, 7350.0)",0.49214659685863876,191
"(6745.0, 7455.0)",0.46368715083798884,179
"(6840.0, 7560.0)",0.4658385093167702,161
"(6935.0, 7665.0)",0.46710526315789475,152
"(7030.0, 7770.0)",0.5,144
"(7125.0, 7875.0)",0.5319148936170213,141
"(7220.0, 7980.0)",0.5703125,128
"(7315.0, 8085.0)",0.5241935483870968,124
"(7410.0, 8190.0)",0.5641025641025641,117
"(7505.0, 8295.0)",0.5701754385964912,114
"(7600.0, 8400.0)",0.5178571428571429,112
"(7695.0, 8505.0)",0.5102040816326531,98
"(7790.0, 8610.0)",0.47191011235955055,89
"(7885.0, 8715.0)",0.44155844155844154,77
"(7980.0, 8820.0)",0.48,75
"(8075.0, 8925.0)",0.5,68
"(8170.0, 9030.0)",0.46153846153846156,65
"(8265.0, 9135.0)",0.42857142857142855,63
"(8360.0, 9240.0)",0.46296296296296297,54
"(8455.0, 9345.0)",0.48214285714285715,56
"(8550.0, 9450.0)",0.45098039215686275,51
"(8645.0, 9555.0)",0.5,50
"(8740.0, 9660.0)",0.46938775510204084,49
"(8835.0, 9765.0)",0.4,45
"(8930.0, 9870.0)",0.3953488372093023,43
"(9025.0, 9975.0)",0.41025641025641024,39
"(9120.0, 10080.0)",0.36363636363636365,33
"(9215.0, 10185.0)",0.38235294117647056,34
"(9310.0, 10290.0)",0.36666666666666664,30
"(9405.0, 10395.0)",0.41379310344827586,29
"(9500.0, 10500.0)",0.44,25
