price range,win rate,size of slice
"(2755.0, 3045.0)",0.870967742,31
"(2850.0, 3150.0)",0.79245283,53
"(2945.0, 3255.0)",0.75,88
"(3040.0, 3360.0)",0.708333333,120
"(3135.0, 3465.0)",0.703703704,162
"(3230.0, 3570.0)",0.70984456,193
"(3325.0, 3675.0)",0.67281106,217
"(3420.0, 3780.0)",0.656779661,236
"(3515.0, 3885.0)",0.626459144,257
"(3610.0, 3990.0)",0.571984436,257
"(3705.0, 4095.0)",0.550387597,258
"(3800.0, 4200.0)",0.541176471,255
"(3895.0, 4305.0)",0.502183406,229
"(3990.0, 4410.0)",0.502262443,221
"(4085.0, 4515.0)",0.51758794,199
"(4180.0, 4620.0)",0.457142857,175
"(4275.0, 4725.0)",0.452229299,157
"(4370.0, 4830.0)",0.371621622,148
"(4465.0, 4935.0)",0.317241379,145
"(4560.0, 5040.0)",0.305343511,131
"(4655.0, 5145.0)",0.3046875,128
"(4750.0, 5250.0)",0.284552846,123
"(4845.0, 5355.0)",0.3125,112
"(4940.0, 5460.0)",0.289473684,114
"(5035.0, 5565.0)",0.295454545,132
"(5130.0, 5670.0)",0.326086957,138
"(5225.0, 5775.0)",0.364963504,137
"(5320.0, 5880.0)",0.34751773,141
"(5415.0, 5985.0)",0.369863014,146
"(5510.0, 6090.0)",0.414285714,140
"(5605.0, 6195.0)",0.426470588,136
"(5700.0, 6300.0)",0.438461538,130
"(5795.0, 6405.0)",0.466165414,133
"(5890.0, 6510.0)",0.519083969,131
"(5985.0, 6615.0)",0.56097561,123
"(6080.0, 6720.0)",0.530769231,130
"(6175.0, 6825.0)",0.574626866,134
"(6270.0, 6930.0)",0.595744681,141
"(6365.0, 7035.0)",0.577181208,149
"(6460.0, 7140.0)",0.576923077,156
"(6555.0, 7245.0)",0.548780488,164
"(6650.0, 7350.0)",0.581818182,165
"(6745.0, 7455.0)",0.601351351,148
"(6840.0, 7560.0)",0.582733813,139
"(6935.0, 7665.0)",0.583333333,132
"(7030.0, 7770.0)",0.598360656,122
"(7125.0, 7875.0)",0.611570248,121
"(7220.0, 7980.0)",0.654545455,110
"(7315.0, 8085.0)",0.635514019,107
"(7410.0, 8190.0)",0.605769231,104
"(7505.0, 8295.0)",0.548076923,104
"(7600.0, 8400.0)",0.495238095,105
"(7695.0, 8505.0)",0.480392157,102
"(7790.0, 8610.0)",0.456521739,92
"(7885.0, 8715.0)",0.457446809,94
"(7980.0, 8820.0)",0.426966292,89
"(8075.0, 8925.0)",0.414634146,82
"(8170.0, 9030.0)",0.45,80
"(8265.0, 9135.0)",0.465753425,73
"(8360.0, 9240.0)",0.464788732,71
"(8455.0, 9345.0)",0.476923077,65
"(8550.0, 9450.0)",0.46031746,63
"(8645.0, 9555.0)",0.45,60
"(8740.0, 9660.0)",0.490909091,55
"(8835.0, 9765.0)",0.472727273,55
"(8930.0, 9870.0)",0.452830189,53
"(9025.0, 9975.0)",0.423076923,52
"(9120.0, 10080.0)",0.46,50
"(9215.0, 10185.0)",0.48,50
"(9310.0, 10290.0)",0.5,50
"(9405.0, 10395.0)",0.510638298,47
"(9500.0, 10500.0)",0.533333333,45
"(9595.0, 10605.0)",0.577777778,45
"(9690.0, 10710.0)",0.571428571,42
"(9785.0, 10815.0)",0.55,40
"(9880.0, 10920.0)",0.578947368,38
"(9975.0, 11025.0)",0.575757576,33
"(10070.0, 11130.0)",0.551724138,29
"(10165.0, 11235.0)",0.555555556,27
"(10260.0, 11340.0)",0.56,25
"(10355.0, 11445.0)",0.6,25
"(10450.0, 11550.0)",0.555555556,27
